node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Artigo 1.342,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.343,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.344,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.345,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.358,28,0.013227513227513227,0.016726355998000247,0.015176160020743326,6
Artigo 1.430,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.431,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.472,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.473,2,0,0.00972324029423411,5.0974728533080045e-05,6
Artigo 1.474,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.475,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.476,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.477,2,0,0.00972324029423411,1.1387881898029689e-05,6
Artigo 1.478,3,0,0.00972324029423411,2.162011186914312e-05,6
Artigo 1.479,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.480,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.481,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 1.482,2,0,0.00972324029423411,1.0436342770991523e-05,6
Artigo 1.483,2,0,0.00972324029423411,1.0436342770991523e-05,6
Artigo 1.484,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.485,3,0,0.00972324029423411,2.1207444714953592e-05,6
Artigo 1.486,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.487,3,0,0.00972324029423411,3.672164527076362e-05,6
Artigo 1.629,2,0,0.00972324029423411,2.4339048201705277e-05,6
Artigo 1.630,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.631,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.632,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.727,2,0,0.00968224835006193,4.393606647150312e-05,6
Artigo 1.728,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.729,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.730,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.731,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.732,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 1.733,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 1.734,4,0,0.012495527329218653,6.737660691875732e-05,6
Artigo 1.766,2,0,0.00967438299803101,2.8417431605900792e-05,6
Artigo 1.767,2,0,0.00972324029423411,1.1535451513944567e-05,6
